N,P,K,temperature,humidity,ph,rainfall,label_encoded,district_encoded,pest,GDD
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,5,23,0,14.605322180000002
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,5,2,0,12.273736459999999
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,5,8,0,15.701966939999998
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,5,37,0,9.20129357
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,5,14,0,11.701814469999999
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,5,10,0,10.517167789999998
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,5,21,0,13.30355338
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,5,36,0,14.254745100000001
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,5,27,0,14.863749339999998
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,5,9,0,12.6265115
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,5,11,0,8.041855129999998
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,5,35,0,13.262376119999999
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,5,26,0,12.883309220000001
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,5,18,0,15.97482359
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,5,21,0,16.14384005
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,5,36,0,8.661162130000001
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,5,27,0,15.10787449
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,5,9,0,13.33844615
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,5,11,0,15.082397189999998
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,5,35,0,15.36768364
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,5,26,0,15.34217103
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,5,18,0,15.009333550000001
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,5,15,0,8.66746724
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,5,28,0,10.379996649999999
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,5,33,0,8.09300227
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,5,29,0,16.16985907
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,5,24,0,8.65396672
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,5,20,0,16.07470121
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,5,16,0,8.92851916
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,5,38,0,13.305467530000001
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,5,25,0,8.748267120000001
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,5,19,0,9.742133209999999
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,5,6,0,15.73044432
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,9,32,0,7.02498456
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,9,1,0,9.02061277
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,9,3,0,7.887764749999999
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,9,30,0,8.868056469999999
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,9,7,0,8.369525670000002
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,9,19,0,10.45078582
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,9,22,0,10.654320299999998
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,9,38,0,7.334868100000001
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,9,16,0,8.179122580000001
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,9,20,0,8.012722660000001
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,9,24,0,10.99373558
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,9,29,0,9.462339709999998
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,9,33,0,9.813445309999999
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,9,28,0,8.974247559999998
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,9,15,0,8.19737048
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,9,18,0,8.729631439999999
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,9,26,0,10.995021529999999
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,9,35,0,10.28155898
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,9,11,0,7.48042641
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,9,9,0,10.88818675
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,9,27,0,7.084985209999999
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,9,36,0,10.09340593
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,9,10,0,7.572121450000001
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,9,10,0,9.12065218
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,9,10,0,8.576659020000001
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,9,4,0,7.1660639800000006
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,9,14,0,8.2872007
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,9,8,0,9.030253049999999
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,9,2,0,7.1418614
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,9,23,0,7.47809436
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,9,36,0,10.56601874
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,9,10,0,7.223852239999999
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,9,10,0,9.691417130000001
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,9,10,0,7.848516579999998
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,9,4,0,8.820225099999998
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,9,14,0,7.4750098399999985
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,9,8,0,8.726494249999998
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,9,2,0,8.655801069999999
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,9,23,0,8.235675100000002
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,9,30,0,8.81198127
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,9,7,0,8.65054116
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,9,19,0,10.367204009999998
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,9,22,0,8.38120357
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,9,38,0,7.170125909999999
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,9,16,0,9.371011209999999
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,9,20,0,7.928459279999998
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,9,24,0,9.45339934
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,9,29,0,9.128293880000001
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,9,33,0,9.103428300000001
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,9,10,0,7.48504075
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,9,23,0,9.40751744
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,9,2,0,10.18649426
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,9,37,0,7.302878849999999
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,9,8,0,7.503611370000002
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,9,14,0,8.17234999
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,9,27,0,7.5744561799999985
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,9,24,0,10.931752549999999
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,9,16,0,9.71098332
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,9,20,0,9.079376839999998
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,9,14,0,8.549886269999998
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,9,14,0,8.19903647
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,9,14,0,8.88852533
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,9,14,0,8.49311205
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,9,2,0,9.48974337
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,9,2,0,7.257694990000001
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,9,2,0,9.62416326
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,9,10,0,10.675264729999999
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,9,10,0,10.02381489
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,9,10,0,10.1187446
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,9,32,0,10.656917929999999
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,9,1,0,9.2582557
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,9,3,0,7.927806
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,9,30,0,9.16288268
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,9,7,0,10.26942271
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,9,19,0,7.091042229999999
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,9,22,0,7.065792930000001
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,9,38,0,10.62767492
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,9,16,0,10.824845100000001
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,9,20,0,9.462104010000001
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,9,24,0,7.1824837200000005
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,9,29,0,7.489116989999999
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,9,33,0,7.483953769999999
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,9,28,0,9.483167940000001
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,9,15,0,9.713597329999999
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,9,18,0,9.48649305
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,9,26,0,9.952648289999999
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,9,35,0,9.417897360000001
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,9,11,0,9.455918480000001
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,9,9,0,10.191377589999998
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,9,27,0,8.8392908
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,9,36,0,10.712192819999999
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,9,10,0,8.994244479999999
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,9,10,0,9.968374619999999
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,9,10,0,7.815645480000001
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,9,4,0,10.714243840000002
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,9,14,0,7.341502290000001
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,9,8,0,7.437327140000001
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,9,2,0,8.89780215
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,9,23,0,8.591907710000001
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,9,36,0,8.315614929999999
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,7,0,0,7.136927740000001
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,7,31,0,9.634743319999998
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,7,12,0,12.91350245
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,7,13,0,6.433403420000001
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,7,5,0,12.13974653
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,7,34,0,7.848065609999999
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,7,17,0,9.883940110000001
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,7,23,0,9.325096380000002
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,7,2,0,8.4167001
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,7,8,0,11.81167649
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,7,37,0,9.72702528
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,7,14,0,7.154329539999999
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,7,10,0,9.622078259999999
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,7,21,0,11.631491480000001
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,7,36,0,6.065227539999999
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,7,27,0,10.61162204
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,7,9,0,11.424510990000002
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,7,11,0,9.070961650000001
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,7,35,0,11.188531780000002
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,7,26,0,13.0429097
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,7,18,0,10.653758329999999
19,65,25,18.09551014,18.29318436,5.625096446,144.7902323,7,15,0,8.095510139999998
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,7,28,0,8.23775702
